tender_no,nature,awarded_to,l1_price,basic,qty,category,comp_a,comp_c,comp_d,comp_b,comp_e,comp_h,comp_i,comp_j,comp_k,comp_l,zone,division,year,month,day
55051,execution,comp_a,2511.0,2127.7,2031,60kg,2511.0,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE,KGP,2023,4,17
55051,execution,comp_a,2144.0,1816.6,3063,r260,2144.0,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE,KGP,2023,4,17
55052,execution,comp_b,5199.0,4405.5,1500,60kg,6101.0,5886.0,0.0,5199.0,0.0,0.0,0.0,0.0,0.0,0.0,CR,NGP,2023,4,24
55052,execution,comp_b,5118.0,4336.9,1000,r260,6006.0,5794.0,0.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,CR,NGP,2023,4,24
55052,execution,comp_b,5118.0,4336.9,500,52kg,6006.0,5794.0,0.0,5118.0,0.0,0.0,0.0,0.0,0.0,0.0,CR,NGP,2023,4,24
55052,execution,comp_b,3859.0,3270.2,200,60kg,4529.0,4369.0,0.0,3859.0,0.0,0.0,0.0,0.0,0.0,0.0,CR,NGP,2023,4,24
55052,execution,comp_b,3797.0,3217.7,200,r260,4456.0,4299.0,0.0,3797.0,0.0,0.0,0.0,0.0,0.0,0.0,CR,NGP,2023,4,24
55052,execution,comp_b,3797.0,3217.7,200,52kg,4456.0,4299.0,0.0,3797.0,0.0,0.0,0.0,0.0,0.0,0.0,CR,NGP,2023,4,24
55053,supply,comp_c,2181.0,1848.0,302,52kg,2788.0,2181.0,2755.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,TSK,2023,4,26
55053,supply,comp_c,2262.0,1917.0,200,60kg,2892.55,2262.0,2857.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,TSK,2023,4,26
55054,supervision,comp_b,1895.0,1606.0,1551,r260,2560.0,2395.0,2241.0,1895.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DDU,2023,4,27
